Accuracy,Precision,Recall
0.8551859099804305,0.12307692307692308,0.32
0.8786692759295499,0.1509433962264151,0.32
0.8424657534246576,0.07633587786259542,0.2
0.8454011741682974,0.07142857142857142,0.18
0.8561643835616438,0.12403100775193798,0.32
0.87279843444227,0.14912280701754385,0.34
0.8512720156555773,0.11363636363636363,0.3
0.8659491193737769,0.11504424778761062,0.26
0.8473581213307241,0.0859375,0.22
0.8659491193737769,0.13445378151260504,0.32
0.8522504892367906,0.08943089430894309,0.22
0.8424657534246576,0.0948905109489051,0.26
0.8414872798434442,0.08208955223880597,0.22
0.8512720156555773,0.1076923076923077,0.28
0.8414872798434442,0.09420289855072464,0.26
0.8463796477495108,0.09774436090225563,0.26
0.8561643835616438,0.09917355371900827,0.24
0.8522504892367906,0.11450381679389313,0.3
0.8463796477495108,0.12056737588652482,0.34
0.8424657534246576,0.08888888888888889,0.24
0.8473581213307241,0.1044776119402985,0.28
0.8346379647749511,0.10596026490066225,0.32
0.8463796477495108,0.09774436090225563,0.26
0.8473581213307241,0.09230769230769231,0.24
0.8356164383561644,0.0958904109589041,0.28
0.8551859099804305,0.09836065573770492,0.24
0.8307240704500979,0.087248322147651,0.26
0.8463796477495108,0.10948905109489052,0.3
0.8434442270058709,0.09558823529411764,0.26
0.8522504892367906,0.096,0.24
0.837573385518591,0.10810810810810811,0.32
0.8395303326810176,0.09285714285714286,0.26
0.8493150684931506,0.10606060606060606,0.28
0.8571428571428571,0.15217391304347827,0.42
0.8473581213307241,0.1044776119402985,0.28
0.8434442270058709,0.08955223880597014,0.24
0.8414872798434442,0.08823529411764706,0.24
0.8610567514677103,0.11666666666666667,0.28
0.8610567514677103,0.11016949152542373,0.26
0.8444227005870841,0.064,0.16
0.8708414872798435,0.12727272727272726,0.28
0.8434442270058709,0.11267605633802817,0.32
0.8581213307240705,0.09401709401709402,0.22
0.8493150684931506,0.06666666666666667,0.16
0.8444227005870841,0.1079136690647482,0.3
0.837573385518591,0.08571428571428572,0.24
0.8561643835616438,0.10569105691056911,0.26
0.8434442270058709,0.08333333333333333,0.22
0.850293542074364,0.11851851851851852,0.32
0.8434442270058709,0.09558823529411764,0.26
0.8688845401174168,0.09615384615384616,0.2
0.8581213307240705,0.09401709401709402,0.22
0.8522504892367906,0.12030075187969924,0.32
0.8424657534246576,0.07633587786259542,0.2
0.8434442270058709,0.10714285714285714,0.3
0.8454011741682974,0.078125,0.2
0.8532289628180039,0.12121212121212122,0.32
0.8639921722113503,0.13821138211382114,0.34
0.8454011741682974,0.10294117647058823,0.28
0.8493150684931506,0.09375,0.24
0.8483365949119374,0.09923664122137404,0.26
0.8620352250489237,0.09009009009009009,0.2
0.8590998043052838,0.11475409836065574,0.28
0.8532289628180039,0.13768115942028986,0.38
0.8473581213307241,0.09848484848484848,0.26
0.8620352250489237,0.09734513274336283,0.22
0.8512720156555773,0.11363636363636363,0.3
0.8346379647749511,0.07194244604316546,0.2
0.8493150684931506,0.1,0.26
0.860078277886497,0.09565217391304348,0.22
0.8463796477495108,0.1037037037037037,0.28
