Accuracy,Precision,Recall
0.7426614481409002,0.15309446254071662,0.94
0.7123287671232876,0.12804878048780488,0.84
0.7338551859099804,0.14193548387096774,0.88
0.7318982387475538,0.13157894736842105,0.8
0.7592954990215264,0.13432835820895522,0.72
0.726027397260274,0.13836477987421383,0.88
0.7436399217221135,0.13448275862068965,0.78
0.7191780821917808,0.13538461538461538,0.88
0.7123287671232876,0.11635220125786164,0.74
0.726027397260274,0.1337579617834395,0.84
0.7250489236790607,0.12861736334405144,0.8
0.7142857142857143,0.12654320987654322,0.82
0.7152641878669276,0.12693498452012383,0.82
0.7377690802348337,0.13175675675675674,0.78
0.7485322896281801,0.1263537906137184,0.7
0.7279843444227005,0.12,0.72
0.7270058708414873,0.138801261829653,0.88
0.7279843444227005,0.12987012987012986,0.8
0.7465753424657534,0.1384083044982699,0.8
0.7524461839530333,0.1413427561837456,0.8
0.7240704500978473,0.12337662337662338,0.76
0.7152641878669276,0.12461059190031153,0.8
0.7407045009784736,0.1498371335504886,0.92
0.7455968688845401,0.14527027027027026,0.86
0.7270058708414873,0.134185303514377,0.84
0.735812133072407,0.11805555555555555,0.68
0.7152641878669276,0.11254019292604502,0.7
0.7328767123287672,0.13680781758957655,0.84
0.7397260273972602,0.13513513513513514,0.8
0.7201565557729941,0.1289308176100629,0.82
0.7318982387475538,0.11904761904761904,0.7
0.7416829745596869,0.14333333333333334,0.86
0.7338551859099804,0.13725490196078433,0.84
0.7270058708414873,0.11960132890365449,0.72
0.7318982387475538,0.14331210191082802,0.9
0.7446183953033269,0.14715719063545152,0.88
0.7407045009784736,0.13804713804713806,0.82
0.7485322896281801,0.12363636363636364,0.68
0.7162426614481409,0.13414634146341464,0.88
0.735812133072407,0.13333333333333333,0.8
0.7299412915851272,0.12582781456953643,0.76
0.7240704500978473,0.1305732484076433,0.82
0.7113502935420744,0.1276595744680851,0.84
0.7221135029354208,0.13664596273291926,0.88
0.7142857142857143,0.1377245508982036,0.92
0.7270058708414873,0.1365079365079365,0.86
0.7250489236790607,0.11627906976744186,0.7
0.7123287671232876,0.12576687116564417,0.82
0.7318982387475538,0.13157894736842105,0.8
0.7211350293542075,0.13395638629283488,0.86
0.7211350293542075,0.12698412698412698,0.8
0.7250489236790607,0.13793103448275862,0.88
0.7338551859099804,0.14423076923076922,0.9
0.7446183953033269,0.1447811447811448,0.86
0.7084148727984344,0.13313609467455623,0.9
0.7455968688845401,0.13793103448275862,0.8
0.7142857142857143,0.11949685534591195,0.76
0.7416829745596869,0.1360544217687075,0.8
0.7328767123287672,0.13680781758957655,0.84
0.7279843444227005,0.13694267515923567,0.86
0.7377690802348337,0.14144736842105263,0.86
0.7074363992172211,0.12386706948640483,0.82
0.723091976516634,0.13015873015873017,0.82
0.7299412915851272,0.13782051282051283,0.86
0.7504892367906066,0.1453287197231834,0.84
0.7338551859099804,0.13,0.78
0.7270058708414873,0.14106583072100312,0.9
0.7270058708414873,0.134185303514377,0.84
0.726027397260274,0.1360759493670886,0.86
0.7377690802348337,0.1292517006802721,0.76
0.7495107632093934,0.15436241610738255,0.92
0.7211350293542075,0.12460063897763578,0.78
0.7162426614481409,0.13855421686746988,0.92
0.7279843444227005,0.1346153846153846,0.84
0.7416829745596869,0.14093959731543623,0.84
0.7181996086105675,0.13043478260869565,0.84
0.7142857142857143,0.13109756097560976,0.86
0.7348336594911937,0.132890365448505,0.8
0.6996086105675147,0.11869436201780416,0.8
0.7191780821917808,0.13538461538461538,0.88
0.7299412915851272,0.11824324324324324,0.7
0.7270058708414873,0.12459016393442623,0.76
0.7162426614481409,0.13190184049079753,0.86
0.7485322896281801,0.14675767918088736,0.86
0.7270058708414873,0.1270358306188925,0.78
0.7113502935420744,0.12307692307692308,0.8
0.723091976516634,0.13015873015873017,0.82
0.7348336594911937,0.12542372881355932,0.74
0.7250489236790607,0.1262135922330097,0.78
0.7250489236790607,0.13333333333333333,0.84
0.7309197651663405,0.12624584717607973,0.76
0.7504892367906066,0.1453287197231834,0.84
0.735812133072407,0.13087248322147652,0.78
0.7270058708414873,0.11960132890365449,0.72
0.7181996086105675,0.128125,0.82
0.7240704500978473,0.12337662337662338,0.76
0.7377690802348337,0.1342281879194631,0.8
0.713307240704501,0.12149532710280374,0.78
0.7436399217221135,0.14189189189189189,0.84
0.726027397260274,0.13141025641025642,0.82
0.713307240704501,0.12615384615384614,0.82
0.7084148727984344,0.1196319018404908,0.78
0.7348336594911937,0.132890365448505,0.8
0.7250489236790607,0.1188118811881188,0.72
0.7240704500978473,0.1441717791411043,0.94
0.723091976516634,0.13015873015873017,0.82
0.7299412915851272,0.12828947368421054,0.78
0.7377690802348337,0.1390728476821192,0.84
0.7367906066536204,0.1362126245847176,0.82
0.7162426614481409,0.12732919254658384,0.82
0.7407045009784736,0.13310580204778158,0.78
0.726027397260274,0.12171052631578948,0.74
0.7328767123287672,0.12956810631229235,0.78
0.7504892367906066,0.13780918727915195,0.78
0.7035225048923679,0.11550151975683891,0.76
0.726027397260274,0.140625,0.9
