Accuracy,Precision,Recall
0.585,0.15384615384615385,0.7
0.655,0.20481927710843373,0.85
0.64,0.175,0.7
0.68,0.21794871794871795,0.85
0.685,0.21333333333333335,0.8
0.67,0.17142857142857143,0.6
0.605,0.16091954022988506,0.7
0.575,0.1782178217821782,0.9
0.645,0.1927710843373494,0.8
0.675,0.2,0.75
0.615,0.16470588235294117,0.7
0.7,0.1875,0.6
0.635,0.18823529411764706,0.8
0.65,0.1951219512195122,0.8
0.67,0.2261904761904762,0.95
0.605,0.18947368421052632,0.9
0.665,0.16901408450704225,0.6
0.66,0.18421052631578946,0.7
0.635,0.19540229885057472,0.85
0.645,0.20689655172413793,0.9
0.65,0.1794871794871795,0.7
0.67,0.18055555555555555,0.65
0.59,0.12195121951219512,0.5
0.67,0.19736842105263158,0.75
0.645,0.16883116883116883,0.65
0.65,0.1951219512195122,0.8
0.61,0.16279069767441862,0.7
0.64,0.16666666666666666,0.65
0.67,0.20512820512820512,0.8
0.695,0.2191780821917808,0.8
0.635,0.18823529411764706,0.8
0.675,0.21518987341772153,0.85
0.62,0.16666666666666666,0.7
0.65,0.17105263157894737,0.65
0.645,0.18518518518518517,0.75
0.635,0.18072289156626506,0.75
0.63,0.17073170731707318,0.7
0.625,0.17647058823529413,0.75
0.66,0.17567567567567569,0.65
0.605,0.15294117647058825,0.65
0.685,0.2054794520547945,0.75
0.625,0.16049382716049382,0.65
0.61,0.19791666666666666,0.95
0.6,0.17391304347826086,0.8
0.59,0.1702127659574468,0.8
0.62,0.15,0.6
0.685,0.2054794520547945,0.75
0.675,0.2,0.75
0.73,0.234375,0.75
0.625,0.17647058823529413,0.75
0.69,0.20833333333333334,0.75
0.66,0.2073170731707317,0.85
0.65,0.1875,0.75
0.625,0.1686746987951807,0.7
0.625,0.1839080459770115,0.8
0.67,0.18055555555555555,0.65
0.66,0.17567567567567569,0.65
0.635,0.16455696202531644,0.65
0.685,0.19718309859154928,0.7
0.685,0.19718309859154928,0.7
0.68,0.19444444444444445,0.7
0.65,0.17105263157894737,0.65
0.705,0.2,0.65
0.595,0.16483516483516483,0.75
0.705,0.208955223880597,0.7
0.67,0.19736842105263158,0.75
0.665,0.21686746987951808,0.9
0.615,0.1724137931034483,0.75
0.675,0.2289156626506024,0.95
0.61,0.17777777777777778,0.8
0.59,0.1702127659574468,0.8
0.645,0.18518518518518517,0.75
0.68,0.20270270270270271,0.75
0.655,0.189873417721519,0.75
0.65,0.1951219512195122,0.8
0.625,0.19101123595505617,0.85
0.645,0.17721518987341772,0.7
0.71,0.21212121212121213,0.7
0.6,0.18085106382978725,0.85
0.63,0.17073170731707318,0.7
0.585,0.15384615384615385,0.7
0.66,0.21428571428571427,0.9
0.685,0.21333333333333335,0.8
0.695,0.2112676056338028,0.75
0.555,0.15151515151515152,0.75
0.665,0.16901408450704225,0.6
0.65,0.20930232558139536,0.9
0.675,0.21518987341772153,0.85
0.675,0.2,0.75
0.625,0.16049382716049382,0.65
0.62,0.16666666666666666,0.7
0.715,0.20634920634920634,0.65
0.69,0.21621621621621623,0.8
0.675,0.2,0.75
0.695,0.2028985507246377,0.7
0.625,0.1686746987951807,0.7
0.695,0.2112676056338028,0.75
0.705,0.21739130434782608,0.75
0.715,0.23943661971830985,0.85
0.63,0.19318181818181818,0.85
0.65,0.16216216216216217,0.6
0.65,0.1794871794871795,0.7
0.64,0.175,0.7
0.66,0.13636363636363635,0.45
0.66,0.2,0.8
0.63,0.18604651162790697,0.8
0.67,0.1891891891891892,0.7
0.645,0.16,0.6
0.64,0.19767441860465115,0.85
0.625,0.1839080459770115,0.8
0.69,0.20833333333333334,0.75
0.64,0.16666666666666666,0.65
0.57,0.16326530612244897,0.8
0.635,0.16455696202531644,0.65
0.63,0.17073170731707318,0.7
0.665,0.13846153846153847,0.45
0.68,0.21794871794871795,0.85
0.675,0.16417910447761194,0.55
0.635,0.1728395061728395,0.7
0.66,0.17567567567567569,0.65
0.61,0.19148936170212766,0.9
0.635,0.18823529411764706,0.8
0.665,0.20987654320987653,0.85
0.665,0.20253164556962025,0.8
0.62,0.1744186046511628,0.75
0.67,0.20512820512820512,0.8
0.705,0.22535211267605634,0.8
0.64,0.19767441860465115,0.85
0.67,0.140625,0.45
0.585,0.16129032258064516,0.75
0.62,0.14102564102564102,0.55
0.645,0.14084507042253522,0.5
0.62,0.1744186046511628,0.75
0.645,0.18518518518518517,0.75
0.575,0.15053763440860216,0.7
0.68,0.18571428571428572,0.65
0.68,0.16666666666666666,0.55
0.675,0.2,0.75
0.665,0.15942028985507245,0.55
0.605,0.18947368421052632,0.9
0.625,0.19101123595505617,0.85
0.7,0.21428571428571427,0.75
0.7,0.2222222222222222,0.8
0.62,0.18888888888888888,0.85
0.6,0.1590909090909091,0.7
0.575,0.1782178217821782,0.9
0.64,0.18292682926829268,0.75
0.59,0.14772727272727273,0.65
0.615,0.16470588235294117,0.7
0.68,0.15625,0.5
0.635,0.20224719101123595,0.9
0.665,0.20987654320987653,0.85
0.615,0.13924050632911392,0.55
0.655,0.15492957746478872,0.55
0.66,0.2073170731707317,0.85
