Accuracy,Precision,Recall
0.7348336594911937,0.132890365448505,0.8
0.7504892367906066,0.14035087719298245,0.8
0.7544031311154599,0.13454545454545455,0.74
0.7201565557729941,0.12420382165605096,0.78
0.726027397260274,0.13141025641025642,0.82
0.723091976516634,0.12779552715654952,0.8
0.713307240704501,0.10679611650485436,0.66
0.7240704500978473,0.12580645161290321,0.78
0.7318982387475538,0.13870967741935483,0.86
0.723091976516634,0.12540192926045016,0.78
0.735812133072407,0.13815789473684212,0.84
0.7181996086105675,0.128125,0.82
0.7015655577299413,0.1148036253776435,0.76
0.7152641878669276,0.12225705329153605,0.78
0.7289628180039139,0.13968253968253969,0.88
0.726027397260274,0.12903225806451613,0.8
0.7054794520547946,0.12979351032448377,0.88
0.7113502935420744,0.1299093655589124,0.86
0.7201565557729941,0.12420382165605096,0.78
0.7181996086105675,0.11363636363636363,0.7
0.7181996086105675,0.128125,0.82
0.7054794520547946,0.12084592145015106,0.8
0.7172211350293543,0.12302839116719243,0.78
0.7309197651663405,0.12871287128712872,0.78
0.7270058708414873,0.12459016393442623,0.76
0.7172211350293543,0.12539184952978055,0.8
0.7250489236790607,0.1188118811881188,0.72
0.7309197651663405,0.13114754098360656,0.8
0.7103718199608611,0.11801242236024845,0.76
0.7191780821917808,0.12380952380952381,0.78
0.7113502935420744,0.12307692307692308,0.8
0.6917808219178082,0.1225071225071225,0.86
0.7270058708414873,0.134185303514377,0.84
0.7279843444227005,0.13694267515923567,0.86
0.7201565557729941,0.12420382165605096,0.78
0.7152641878669276,0.12461059190031153,0.8
0.7436399217221135,0.12937062937062938,0.74
0.7093933463796478,0.12462006079027356,0.82
0.7426614481409002,0.14381270903010032,0.86
0.7407045009784736,0.14754098360655737,0.9
0.7201565557729941,0.1289308176100629,0.82
0.7191780821917808,0.12380952380952381,0.78
0.7309197651663405,0.12871287128712872,0.78
0.7045009784735812,0.125,0.84
0.7289628180039139,0.13029315960912052,0.8
0.735812133072407,0.14052287581699346,0.86
0.7328767123287672,0.1414790996784566,0.88
0.7045009784735812,0.125,0.84
