Accuracy,Precision,Recall
0.7240704500978473,0.13522012578616352,0.86
0.7455968688845401,0.15,0.9
0.7318982387475538,0.11379310344827587,0.66
0.7162426614481409,0.12025316455696203,0.76
0.7240704500978473,0.1305732484076433,0.82
0.7377690802348337,0.1267123287671233,0.74
0.7377690802348337,0.13175675675675674,0.78
0.7514677103718199,0.14583333333333334,0.84
0.7426614481409002,0.13898305084745763,0.82
0.7328767123287672,0.13915857605177995,0.86
0.7250489236790607,0.12861736334405144,0.8
0.700587084148728,0.12352941176470589,0.84
0.6956947162426614,0.1282051282051282,0.9
0.7221135029354208,0.1388888888888889,0.9
0.7084148727984344,0.1196319018404908,0.78
0.7113502935420744,0.12307692307692308,0.8
0.7309197651663405,0.14057507987220447,0.88
0.7436399217221135,0.1513157894736842,0.92
0.7221135029354208,0.12974683544303797,0.82
0.7289628180039139,0.13268608414239483,0.82
0.7162426614481409,0.10784313725490197,0.66
0.7172211350293543,0.13230769230769232,0.86
0.7191780821917808,0.1308411214953271,0.84
0.726027397260274,0.13836477987421383,0.88
0.7250489236790607,0.13564668769716087,0.86
0.7318982387475538,0.13870967741935483,0.86
0.7289628180039139,0.13504823151125403,0.84
0.7074363992172211,0.11926605504587157,0.78
0.7328767123287672,0.13680781758957655,0.84
0.7553816046966731,0.13768115942028986,0.76
0.7270058708414873,0.134185303514377,0.84
0.7113502935420744,0.13213213213213212,0.88
0.7348336594911937,0.132890365448505,0.8
0.7328767123287672,0.13915857605177995,0.86
0.7661448140900196,0.14869888475836432,0.8
0.7123287671232876,0.12576687116564417,0.82
0.713307240704501,0.11912225705329153,0.76
0.7407045009784736,0.13559322033898305,0.8
0.7270058708414873,0.134185303514377,0.84
0.738747553816047,0.13220338983050847,0.78
0.7152641878669276,0.13813813813813813,0.92
0.7426614481409002,0.12631578947368421,0.72
0.723091976516634,0.13479623824451412,0.86
0.7318982387475538,0.13870967741935483,0.86
0.7495107632093934,0.1423611111111111,0.82
0.7455968688845401,0.13541666666666666,0.78
0.7054794520547946,0.12979351032448377,0.88
0.7367906066536204,0.13131313131313133,0.78
0.738747553816047,0.13712374581939799,0.82
0.7211350293542075,0.12218649517684887,0.76
0.6947162426614482,0.11470588235294117,0.78
0.7514677103718199,0.13829787234042554,0.78
0.7201565557729941,0.13580246913580246,0.88
