Accuracy,Precision,Recall
0.7367906066536204,0.1362126245847176,0.82
0.7113502935420744,0.12538226299694188,0.82
0.7485322896281801,0.14915254237288136,0.88
0.7377690802348337,0.14144736842105263,0.86
0.7279843444227005,0.13225806451612904,0.82
0.7309197651663405,0.11604095563139932,0.68
0.7191780821917808,0.13312693498452013,0.86
0.7338551859099804,0.13245033112582782,0.8
0.7289628180039139,0.12786885245901639,0.78
0.7504892367906066,0.15017064846416384,0.88
0.738747553816047,0.13220338983050847,0.78
0.738747553816047,0.12714776632302405,0.74
0.7123287671232876,0.13253012048192772,0.88
0.7289628180039139,0.1254125412541254,0.76
0.7504892367906066,0.14285714285714285,0.82
0.7367906066536204,0.13861386138613863,0.84
0.7074363992172211,0.12612612612612611,0.84
0.7113502935420744,0.1111111111111111,0.7
0.7240704500978473,0.1305732484076433,0.82
0.7299412915851272,0.12080536912751678,0.72
0.7181996086105675,0.13043478260869565,0.84
0.7299412915851272,0.13548387096774195,0.84
0.7289628180039139,0.13029315960912052,0.8
0.735812133072407,0.12585034013605442,0.74
0.7221135029354208,0.1320754716981132,0.84
0.7504892367906066,0.13261648745519714,0.74
0.726027397260274,0.13141025641025642,0.82
0.7191780821917808,0.12618296529968454,0.8
0.7221135029354208,0.1320754716981132,0.84
0.7397260273972602,0.13013698630136986,0.76
0.7211350293542075,0.13622291021671826,0.88
0.7338551859099804,0.13486842105263158,0.82
0.7475538160469667,0.1413793103448276,0.82
0.7211350293542075,0.13395638629283488,0.86
0.726027397260274,0.12903225806451613,0.8
0.735812133072407,0.14743589743589744,0.92
0.7573385518590998,0.15862068965517243,0.92
0.7367906066536204,0.12627986348122866,0.74
0.7318982387475538,0.13398692810457516,0.82
0.7475538160469667,0.15100671140939598,0.9
0.7025440313111546,0.1329479768786127,0.92
0.7348336594911937,0.1353135313531353,0.82
0.7504892367906066,0.15017064846416384,0.88
0.6917808219178082,0.11594202898550725,0.8
0.7504892367906066,0.14035087719298245,0.8
0.7162426614481409,0.13636363636363635,0.9
0.7348336594911937,0.132890365448505,0.8
0.735812133072407,0.1357615894039735,0.82
0.7211350293542075,0.13622291021671826,0.88
0.7446183953033269,0.13745704467353953,0.8
0.7328767123287672,0.132013201320132,0.8
0.7309197651663405,0.13355048859934854,0.82
0.7152641878669276,0.12923076923076923,0.84
0.7240704500978473,0.12580645161290321,0.78
0.738747553816047,0.13712374581939799,0.82
0.7250489236790607,0.13564668769716087,0.86
0.7348336594911937,0.1377049180327869,0.84
0.7309197651663405,0.1382636655948553,0.86
0.7289628180039139,0.14195583596214512,0.9
0.726027397260274,0.12171052631578948,0.74
0.7299412915851272,0.12582781456953643,0.76
0.7279843444227005,0.12987012987012986,0.8
0.7367906066536204,0.13861386138613863,0.84
0.7328767123287672,0.1414790996784566,0.88
0.738747553816047,0.1419141914191419,0.86
0.7172211350293543,0.1182108626198083,0.74
0.7270058708414873,0.13183279742765272,0.82
0.738747553816047,0.1465798045602606,0.9
0.7084148727984344,0.12195121951219512,0.8
0.7328767123287672,0.14376996805111822,0.9
0.7397260273972602,0.13513513513513514,0.8
0.7553816046966731,0.14285714285714285,0.8
0.7455968688845401,0.13793103448275862,0.8
0.723091976516634,0.12779552715654952,0.8
0.7377690802348337,0.1390728476821192,0.84
0.7338551859099804,0.13486842105263158,0.82
0.7093933463796478,0.11526479750778816,0.74
0.7250489236790607,0.1262135922330097,0.78
0.7318982387475538,0.1291390728476821,0.78
0.7074363992172211,0.109717868338558,0.7
0.7113502935420744,0.12074303405572756,0.78
0.735812133072407,0.14285714285714285,0.88
0.7270058708414873,0.1270358306188925,0.78
0.7367906066536204,0.13377926421404682,0.8
0.7181996086105675,0.12341772151898735,0.78
0.7279843444227005,0.11486486486486487,0.68
0.735812133072407,0.14052287581699346,0.86
0.7152641878669276,0.13149847094801223,0.86
0.7162426614481409,0.12025316455696203,0.76
0.7250489236790607,0.14018691588785046,0.9
0.7162426614481409,0.125,0.8
0.7211350293542075,0.12460063897763578,0.78
0.7397260273972602,0.14,0.84
0.738747553816047,0.13712374581939799,0.82
0.7270058708414873,0.1365079365079365,0.86
0.7221135029354208,0.12974683544303797,0.82
0.7250489236790607,0.13333333333333333,0.84
0.7504892367906066,0.14285714285714285,0.82
0.7289628180039139,0.13968253968253969,0.88
0.726027397260274,0.1360759493670886,0.86
0.7397260273972602,0.12758620689655173,0.74
0.7123287671232876,0.12576687116564417,0.82
0.7318982387475538,0.1291390728476821,0.78
0.7201565557729941,0.13580246913580246,0.88
0.7181996086105675,0.13719512195121952,0.9
0.723091976516634,0.12540192926045016,0.78
0.7093933463796478,0.12912912912912913,0.86
0.7397260273972602,0.13758389261744966,0.82
0.738747553816047,0.11929824561403508,0.68
0.7201565557729941,0.12658227848101267,0.8
0.7309197651663405,0.1382636655948553,0.86
0.7074363992172211,0.12386706948640483,0.82
0.7240704500978473,0.1305732484076433,0.82
0.7240704500978473,0.1282051282051282,0.8
0.7084148727984344,0.12424242424242424,0.82
0.7152641878669276,0.13813813813813813,0.92
0.7436399217221135,0.136986301369863,0.8
0.7201565557729941,0.1289308176100629,0.82
0.7426614481409002,0.14381270903010032,0.86
0.7495107632093934,0.13732394366197184,0.78
0.7064579256360078,0.12349397590361445,0.82
0.7309197651663405,0.13355048859934854,0.82
0.7367906066536204,0.13131313131313133,0.78
0.7299412915851272,0.13071895424836602,0.8
0.7563600782778865,0.15331010452961671,0.88
0.7084148727984344,0.12874251497005987,0.86
0.7328767123287672,0.132013201320132,0.8
0.7318982387475538,0.14331210191082802,0.9
0.6966731898238747,0.11538461538461539,0.78
0.7416829745596869,0.1456953642384106,0.88
0.7318982387475538,0.13157894736842105,0.8
0.7270058708414873,0.13183279742765272,0.82
0.7142857142857143,0.12883435582822086,0.84
0.7309197651663405,0.13592233009708737,0.84
0.7485322896281801,0.14186851211072665,0.82
0.7338551859099804,0.13245033112582782,0.8
0.7338551859099804,0.13,0.78
0.726027397260274,0.11409395973154363,0.68
0.7289628180039139,0.13029315960912052,0.8
0.7152641878669276,0.12225705329153605,0.78
0.7191780821917808,0.12618296529968454,0.8
0.7289628180039139,0.12292358803986711,0.74
