Accuracy,Precision,Recall
0.3698630136986301,0.06578947368421052,0.9
0.3816046966731898,0.06437125748502993,0.86
0.3816046966731898,0.05909090909090909,0.78
0.3816046966731898,0.06437125748502993,0.86
0.37084148727984345,0.0620384047267356,0.84
0.3943248532289628,0.06828528072837632,0.9
0.37573385518590996,0.06764705882352941,0.92
0.38649706457925637,0.06354009077155824,0.84
0.4021526418786693,0.06912442396313365,0.9
0.363013698630137,0.06259097525473072,0.86
0.37573385518590996,0.06764705882352941,0.92
0.35518590998043054,0.0618705035971223,0.86
0.4070450097847358,0.07098765432098765,0.92
0.37084148727984345,0.0620384047267356,0.84
0.38551859099804303,0.0634441087613293,0.84
0.3835616438356164,0.06456456456456457,0.86
0.3786692759295499,0.07048458149779736,0.96
0.40019569471624267,0.07022900763358779,0.92
0.36888454011741684,0.061855670103092786,0.84
0.3923679060665362,0.0693815987933635,0.92
0.36007827788649704,0.06484149855907781,0.9
0.39628180039138944,0.06717557251908397,0.88
0.3806262230919765,0.06427503736920777,0.86
0.37181996086105673,0.0621301775147929,0.84
0.3698630136986301,0.06578947368421052,0.9
0.3806262230919765,0.06296851574212893,0.84
0.37573385518590996,0.0650887573964497,0.88
0.3933463796477495,0.06554878048780488,0.86
0.38454011741682975,0.06726457399103139,0.9
0.38258317025440314,0.07090103397341212,0.96
0.3610567514677104,0.06493506493506493,0.9
0.38258317025440314,0.06835066864784546,0.92
0.3767123287671233,0.06774668630338733,0.92
0.3816046966731898,0.06567164179104477,0.88
0.3904109589041096,0.06656580937972768,0.88
0.3904109589041096,0.06656580937972768,0.88
0.35909980430528377,0.06474820143884892,0.9
0.37573385518590996,0.06119402985074627,0.82
0.3698630136986301,0.06831395348837209,0.94
0.3639921722113503,0.06521739130434782,0.9
0.34148727984344424,0.06311360448807854,0.9
0.3796477495107632,0.06676557863501484,0.9
0.36203522504892366,0.0625,0.86
0.37377690802348335,0.06489675516224189,0.88
0.38258317025440314,0.06576980568011959,0.88
0.3767123287671233,0.06646971935007386,0.9
0.39823874755381605,0.07132018209408195,0.94
0.37279843444227007,0.06607929515418502,0.9
0.38454011741682975,0.06726457399103139,0.9
0.38747553816046965,0.0688622754491018,0.92
0.3796477495107632,0.06676557863501484,0.9
0.3786692759295499,0.06794682422451995,0.92
0.38551859099804303,0.0634441087613293,0.84
0.36888454011741684,0.06695778748180495,0.92
0.37377690802348335,0.06489675516224189,0.88
0.3776908023483366,0.06398809523809523,0.86
0.37279843444227007,0.06351550960118169,0.86
0.37279843444227007,0.06222222222222222,0.84
0.38747553816046965,0.0649546827794562,0.86
0.3904109589041096,0.06917293233082707,0.92
0.3816046966731898,0.06437125748502993,0.86
0.3923679060665362,0.060092449922958396,0.78
0.46868884540117417,0.055855855855855854,0.62
0.38454011741682975,0.06596701649175413,0.88
0.3610567514677104,0.062409288824383166,0.86
0.3943248532289628,0.06828528072837632,0.9
0.39628180039138944,0.06717557251908397,0.88
0.39823874755381605,0.06471494607087827,0.84
0.3835616438356164,0.06716417910447761,0.9
0.38551859099804303,0.06475903614457831,0.86
0.3943248532289628,0.07218045112781955,0.96
0.41389432485322897,0.07042253521126761,0.9
0.38258317025440314,0.06706408345752608,0.9
0.3767123287671233,0.06518518518518518,0.88
0.38943248532289626,0.07035928143712575,0.94
0.3835616438356164,0.0658682634730539,0.88
0.38747553816046965,0.06756756756756757,0.9
0.3610567514677104,0.0611353711790393,0.84
0.38649706457925637,0.06485671191553545,0.86
0.4021526418786693,0.07044410413476264,0.92
0.48336594911937375,0.06066176470588235,0.66
0.39921722113502933,0.07272727272727272,0.96
0.3904109589041096,0.0639269406392694,0.84
0.37084148727984345,0.0620384047267356,0.84
0.36203522504892366,0.06376811594202898,0.88
0.37573385518590996,0.06637168141592921,0.9
0.38454011741682975,0.06596701649175413,0.88
0.3698630136986301,0.06705539358600583,0.92
0.38943248532289626,0.0677710843373494,0.9
0.38258317025440314,0.06706408345752608,0.9
0.3532289628180039,0.06169296987087518,0.86
0.38551859099804303,0.06736526946107785,0.9
0.3796477495107632,0.06417910447761194,0.86
