Accuracy,Precision,Recall
0.7563600782778865,0.15807560137457044,0.92
0.7318982387475538,0.13870967741935483,0.86
0.7495107632093934,0.1213235294117647,0.66
0.7221135029354208,0.1411042944785276,0.92
0.7289628180039139,0.1254125412541254,0.76
0.7299412915851272,0.1331168831168831,0.82
0.7426614481409002,0.13651877133105803,0.8
0.723091976516634,0.12052117263843648,0.74
0.7172211350293543,0.12539184952978055,0.8
0.738747553816047,0.13953488372093023,0.84
0.7397260273972602,0.1423841059602649,0.86
0.7270058708414873,0.1270358306188925,0.78
0.7279843444227005,0.13225806451612904,0.82
0.7299412915851272,0.13548387096774195,0.84
0.7270058708414873,0.138801261829653,0.88
0.7504892367906066,0.14776632302405499,0.86
0.723091976516634,0.13015873015873017,0.82
0.7309197651663405,0.13355048859934854,0.82
0.7338551859099804,0.14193548387096774,0.88
0.7318982387475538,0.13870967741935483,0.86
0.7397260273972602,0.13758389261744966,0.82
0.7240704500978473,0.12337662337662338,0.76
0.7299412915851272,0.12333333333333334,0.74
0.7064579256360078,0.12121212121212122,0.8
0.7152641878669276,0.11746031746031746,0.74
0.7377690802348337,0.13666666666666666,0.82
0.7338551859099804,0.14193548387096774,0.88
0.764187866927593,0.15272727272727274,0.84
0.7025440313111546,0.1242603550295858,0.84
0.723091976516634,0.13479623824451412,0.86
0.7534246575342466,0.1443661971830986,0.82
0.7397260273972602,0.1326530612244898,0.78
0.7172211350293543,0.1345565749235474,0.88
0.7407045009784736,0.13559322033898305,0.8
0.7201565557729941,0.13354037267080746,0.86
0.7240704500978473,0.13291139240506328,0.84
0.713307240704501,0.12615384615384614,0.82
0.7045009784735812,0.12721893491124261,0.86
0.7416829745596869,0.13851351351351351,0.82
0.738747553816047,0.1419141914191419,0.86
0.7152641878669276,0.12693498452012383,0.82
0.7309197651663405,0.14285714285714285,0.9
0.7416829745596869,0.14093959731543623,0.84
0.7407045009784736,0.13559322033898305,0.8
0.7338551859099804,0.13725490196078433,0.84
0.735812133072407,0.14285714285714285,0.88
0.7211350293542075,0.14067278287461774,0.92
0.7270058708414873,0.1270358306188925,0.78
0.7348336594911937,0.1423948220064725,0.88
0.7299412915851272,0.13071895424836602,0.8
0.7504892367906066,0.14776632302405499,0.86
0.7240704500978473,0.12337662337662338,0.76
0.6947162426614482,0.12138728323699421,0.84
0.7299412915851272,0.1331168831168831,0.82
0.7240704500978473,0.1305732484076433,0.82
0.7289628180039139,0.14420062695924765,0.92
0.7377690802348337,0.13666666666666666,0.82
0.7318982387475538,0.13636363636363635,0.84
0.7172211350293543,0.13230769230769232,0.86
0.7084148727984344,0.12195121951219512,0.8
0.7162426614481409,0.125,0.8
0.7279843444227005,0.12987012987012986,0.8
0.7465753424657534,0.14814814814814814,0.88
0.7201565557729941,0.1118421052631579,0.68
0.7250489236790607,0.1237785016286645,0.76
0.7270058708414873,0.12944983818770225,0.8
0.7592954990215264,0.14233576642335766,0.78
0.713307240704501,0.12844036697247707,0.84
0.7201565557729941,0.1289308176100629,0.82
0.7367906066536204,0.12110726643598616,0.7
0.7270058708414873,0.134185303514377,0.84
0.7318982387475538,0.12162162162162163,0.72
0.7270058708414873,0.12944983818770225,0.8
0.7348336594911937,0.14006514657980457,0.86
0.7240704500978473,0.12580645161290321,0.78
0.7553816046966731,0.14788732394366197,0.84
0.7377690802348337,0.13175675675675674,0.78
0.7309197651663405,0.12871287128712872,0.78
0.7123287671232876,0.12804878048780488,0.84
0.7270058708414873,0.1365079365079365,0.86
0.7250489236790607,0.13564668769716087,0.86
0.7377690802348337,0.1461038961038961,0.9
0.7250489236790607,0.13333333333333333,0.84
0.7250489236790607,0.12861736334405144,0.8
0.7162426614481409,0.1178343949044586,0.74
0.7211350293542075,0.13395638629283488,0.86
0.7367906066536204,0.1288135593220339,0.76
0.7318982387475538,0.13157894736842105,0.8
0.735812133072407,0.13815789473684212,0.84
0.735812133072407,0.1357615894039735,0.82
0.7270058708414873,0.11960132890365449,0.72
0.7172211350293543,0.12302839116719243,0.78
0.7093933463796478,0.12912912912912913,0.86
0.7074363992172211,0.13056379821958458,0.88
0.6917808219178082,0.11594202898550725,0.8
0.7270058708414873,0.1365079365079365,0.86
0.7074363992172211,0.12612612612612611,0.84
0.7064579256360078,0.12797619047619047,0.86
0.7436399217221135,0.1267605633802817,0.72
0.7191780821917808,0.13538461538461538,0.88
0.7426614481409002,0.1289198606271777,0.74
0.7113502935420744,0.13213213213213212,0.88
0.7309197651663405,0.13355048859934854,0.82
0.738747553816047,0.13468013468013468,0.8
