Accuracy,Precision,Recall
0.7651663405088063,0.15073529411764705,0.82
0.7524461839530333,0.1413427561837456,0.8
0.723091976516634,0.13479623824451412,0.86
0.738747553816047,0.12714776632302405,0.74
0.7377690802348337,0.1390728476821192,0.84
0.7172211350293543,0.1345565749235474,0.88
0.7221135029354208,0.134375,0.86
0.7309197651663405,0.12624584717607973,0.76
0.713307240704501,0.1238390092879257,0.8
0.7416829745596869,0.1456953642384106,0.88
0.7446183953033269,0.14715719063545152,0.88
0.7485322896281801,0.13937282229965156,0.8
0.7318982387475538,0.1291390728476821,0.78
0.7407045009784736,0.14521452145214522,0.88
0.735812133072407,0.1357615894039735,0.82
0.7309197651663405,0.13114754098360656,0.8
0.7299412915851272,0.14012738853503184,0.88
0.7211350293542075,0.13166144200626959,0.84
0.7162426614481409,0.11538461538461539,0.72
0.7524461839530333,0.1413427561837456,0.8
0.7446183953033269,0.1447811447811448,0.86
0.7544031311154599,0.13978494623655913,0.78
0.726027397260274,0.1337579617834395,0.84
0.7455968688845401,0.13541666666666666,0.78
0.7377690802348337,0.1267123287671233,0.74
0.726027397260274,0.12903225806451613,0.8
0.7015655577299413,0.1282798833819242,0.88
0.7504892367906066,0.14035087719298245,0.8
0.723091976516634,0.13479623824451412,0.86
0.7377690802348337,0.1437908496732026,0.88
0.7270058708414873,0.12459016393442623,0.76
0.7455968688845401,0.1404109589041096,0.82
0.7172211350293543,0.13230769230769232,0.86
0.7407045009784736,0.14046822742474915,0.84
0.7270058708414873,0.12211221122112212,0.74
0.723091976516634,0.13479623824451412,0.86
0.7289628180039139,0.1254125412541254,0.76
0.7348336594911937,0.132890365448505,0.8
0.726027397260274,0.13836477987421383,0.88
0.7348336594911937,0.1353135313531353,0.82
0.7250489236790607,0.13333333333333333,0.84
0.7338551859099804,0.12751677852348994,0.76
0.7250489236790607,0.13099041533546327,0.82
0.7221135029354208,0.12012987012987013,0.74
0.7318982387475538,0.13157894736842105,0.8
0.735812133072407,0.14052287581699346,0.86
0.7181996086105675,0.11858974358974358,0.74
0.7152641878669276,0.12461059190031153,0.8
0.7377690802348337,0.1342281879194631,0.8
0.7240704500978473,0.13975155279503104,0.9
0.7201565557729941,0.13125,0.84
0.7377690802348337,0.13175675675675674,0.78
0.7318982387475538,0.11643835616438356,0.68
0.7475538160469667,0.14625850340136054,0.86
0.7446183953033269,0.13993174061433447,0.82
0.735812133072407,0.13815789473684212,0.84
0.7553816046966731,0.13768115942028986,0.76
0.7299412915851272,0.12333333333333334,0.74
0.7093933463796478,0.13134328358208955,0.88
0.7338551859099804,0.13,0.78
0.7093933463796478,0.11526479750778816,0.74
0.7240704500978473,0.1375,0.88
0.7495107632093934,0.1347517730496454,0.76
0.713307240704501,0.11428571428571428,0.72
0.7142857142857143,0.12654320987654322,0.82
0.7211350293542075,0.12933753943217666,0.82
0.7289628180039139,0.12292358803986711,0.74
0.7348336594911937,0.13043478260869565,0.78
0.7191780821917808,0.11147540983606558,0.68
0.7270058708414873,0.134185303514377,0.84
0.735812133072407,0.13333333333333333,0.8
0.7407045009784736,0.1498371335504886,0.92
0.7142857142857143,0.11708860759493671,0.74
0.7221135029354208,0.12258064516129032,0.76
0.7367906066536204,0.1288135593220339,0.76
0.7367906066536204,0.13131313131313133,0.78
